id	nm	lat	lon	countryCode
2033667	Xinqing	48.233330	129.500000	CN
2033739	Xinglongshan	43.956108	125.466110	CN
2033766	Xingcheng	40.616669	120.716667	CN
2033824	Xilin Hot	43.966671	116.033333	CN
2033866	Xifeng	42.737221	124.722221	CN
2033934	Xiaoshi	41.297112	124.120918	CN
2034141	Wuchang	44.914280	127.150009	CN
2034221	Wangqing	43.321789	129.763412	CN
2034226	Hepingjie	42.059719	126.915833	CN
2034228	Wangkui	46.833328	126.500000	CN
2034312	Ulanhot	46.083328	122.083328	CN
2034340	Tumen	42.966110	129.842499	CN
2034440	Tieli	46.950001	128.050003	CN
2034599	Tailai	46.383331	123.400002	CN
2034600	Taikang	46.833328	124.416672	CN
